trail_id,summer_temp,winter_temp,annual_rain,annual_snow
10037999,37.096,-2.4,291.57,8.169
10299272,40.096,-1,220.19,1.988
10111891,40.5,-0.696,176.41,0.238
10039029,37.096,-2.4,291.57,8.169
10263672,31.7,-12.1,254.03,56.833
10378554,35.6,-8.7,163.34,20.51
10327921,31.4,-12.396,254.03,56.833
10304376,33.1,-13.196,254.03,56.833
10272356,35.2,-8.996,152.24,17.304
10311730,40.996,-0.1,176.41,0.238
10028602,40.6,-0.5,176.41,0.238
10272764,39.3,-1.2,232.08,0.994
10307988,40,-1.1,220.19,1.988
10111287,40.796,-0.3,176.41,0.238
10379267,33.3,-12.9,254.03,56.833
10272205,31.7,-12.1,254.03,56.833
10028565,28.3,-16.992,289.93,77.259
10313180,39.9,-1.2,220.19,1.988
10265889,32.4,-13.896,254.03,56.833
10236034,39.3,-1.2,232.08,0.994
10347968,41,-6.9,212.5,34.804
10258658,30.5,-16.3,289.93,77.259
10022546,32.2,-13.9,279.06,85.155
10267224,40.896,-0.2,176.41,0.238
10006893,31.3,-12.5,254.03,56.833
10009407,30.896,-14.496,289.93,77.259
10259364,35.5,-12.3,149.18,33.019
10014422,31.2,-12.6,254.03,56.833
10269033,33.2,-14.696,279.06,85.155
10348524,39.6,-1.496,232.08,0.994
10268788,31.7,-12.1,254.03,56.833
10268789,31.7,-12.1,254.03,56.833
10259359,30.896,-14.496,289.93,77.259
10272462,35.4,-8.9,163.34,20.51
10261755,40.2,-0.896,220.19,1.988
10394939,39.9,-1.2,220.19,1.988
10007969,29.5,-15.196,289.93,77.259
10366335,40.3,-0.8,176.41,0.238
10453902,39.3,-1.2,232.08,0.994
10286475,31.1,-12.696,254.03,56.833
10314641,34.7,-9.6,228.91,43.274
10421252,31.9,-11.896,254.03,56.833
10483525,38.4,-2.2,290.41,5.915
10427265,33.9,-13.2,256.43,72.219
10258671,30.896,-14.496,289.93,77.259
10456484,40,-1.1,220.19,1.988
10545419,36.9,-3.2,291.57,8.169
10041922,37.3,-3.7,1277.57,9.051
10235890,36.6,-4.1,1211.55,10.227
10264755,36.5,-4.296,1211.55,10.227
10264753,37.3,-3.7,1277.57,9.051
10039426,37.2,-3.9,1277.57,9.051
10007938,37.1,-4.1,1277.57,9.051
10267800,37.2,-3.8,1277.57,9.051
10017178,37.2,-3.9,1277.57,9.051
10235889,36.5,-4.296,1211.55,10.227
10354929,37.3,-3.7,1277.57,9.051
10264248,37.2,-4,1277.57,9.051
10291742,37.2,-3.9,1277.57,9.051
10307591,36.6,-4.6,1277.57,9.051
10308425,36.6,-4.1,1211.55,10.227
10367719,37.1,-4.1,1277.57,9.051
10308451,36.6,-4.196,1211.55,10.227
10026910,33.6,-7.9,682.85,216.02
10005895,33.6,-7.9,682.85,216.02
10005585,33.5,-7.9,682.85,216.02
10026952,27.8,-11.196,355.03,280.693
10011926,33.6,-7.8,682.85,216.02
10027503,26.3,-15.996,229.37,551.698
10010560,33.6,-7.9,682.85,216.02
10031426,26.5,-15.096,290.12,523.88
10033113,27.8,-13.7,330.39,482.699
10276593,33.5,-8,682.85,216.02
10011170,36.8,-2.3,125.23,8.099
10235913,33.6,-7.9,682.85,216.02
10026962,27.4,-11.596,355.03,280.693
10028848,26.1,-15.3,374.89,416.094
10031466,31.6,-9.3,355.03,280.693
10006090,26.3,-12.696,276.65,223.496
10031888,37,-2.1,125.23,8.099
10235992,26.8,-12.196,276.65,223.496
10235907,33.396,-8.1,682.85,216.02
10027546,36.3,-3.4,608.11,39.592
10035554,36.3,-2.4,125.23,8.099
10028653,26.5,-15.096,290.12,523.88
10033156,31.6,-9.3,355.03,280.693
10031456,26.8,-12.196,276.65,223.496
10002863,25.8,-15.7,112.67,400.932
10003872,39.2,0.504,132.67,0.21
10010871,27.7,-13.8,330.39,482.699
10013977,37.1,0.4,329.41,0.413
10019827,38.5,-0.9,96.14,1.96
10235908,33.6,-7.9,682.85,216.02
10037289,26.3,-15.896,229.37,551.698
10034036,40.9,0.7,97.78,2.737
10004781,33.6,-7.9,682.85,216.02
10031887,35.6,-3.1,125.23,8.099
10012390,29.9,-11.3,520.06,385.084
10235922,32.9,-8.5,682.85,216.02
10006688,49.2,5.2,79.63,0.525
10293225,26.5,-15.096,290.12,523.88
10298575,33.5,-8,682.85,216.02
10274952,25.3,1.4,1433.99,34.314
10023775,36.9,-2.2,96.14,1.96
10014345,33.6,-7.9,682.85,216.02
10033137,28,-11.1,355.03,280.693
10013813,33.6,-7.9,682.85,216.02
10040340,26.3,-12.696,276.65,223.496
10259802,28.4,-12.696,163.76,221.543
10235993,28,-11.1,355.03,280.693
10026955,26.8,-12.196,276.65,223.496
10028648,33.796,-7.796,823.94,98.406
10236017,47.1,1.904,79.63,0.525
10235899,42.2,1.2,109.58,0.091
10236155,28.4,-13,374.89,416.094
10261348,33.6,-7.9,682.85,216.02
10026896,29.296,-12.096,484.99,432.971
10242664,31,-7.696,404.97,138.355
10037534,28.9,-0.896,1433.99,34.314
10036246,26.3,-12.696,276.65,223.496
10029986,30.5,-12.6,374.89,416.094
10032060,22.196,-18.296,125.29,544.649
10029819,32,-8.9,355.03,280.693
10035907,37,0.3,329.41,0.413
10031884,36,-2.596,125.23,8.099
10007086,27.4,-11.596,276.65,223.496
10041400,31.6,-9.3,355.03,280.693
10111782,25.296,-16.2,135.31,562.548
10004744,27.4,-11.596,355.03,280.693
10033119,26.3,-15.896,229.37,551.698
10027108,29.7,-11.4,374.89,416.094
10034011,47.396,3.4,79.63,0.525
10028494,39.2,0.504,132.67,0.21
10026938,28.3,-10.8,355.03,280.693
10026957,27.4,-11.596,276.65,223.496
10258341,37.1,0.4,329.41,0.413
10252968,37,-2.1,96.14,1.96
10235919,33.6,-7.8,682.85,216.02
10111890,36.6,-2.6,125.23,8.099
10034225,25.8,-13.8,162.02,236.089
10235927,27.7,-13.8,330.39,482.699
10027315,34.896,-5.996,94.42,4.123
10027540,26,-13.8,279.92,415.639
10031434,25.8,-16.296,112.67,400.932
10033216,29.496,-9.496,97.53,3.528
10036262,22.7,-18.6,229.22,365.099
10032041,33.996,-7.596,823.94,98.406
10243572,33.6,-7.8,682.85,216.02
10011461,48.196,4.5,79.63,0.525
10006763,25.7,-15.8,112.67,400.932
10016234,26.4,-13.496,276.65,223.496
10235911,32.6,-9.2,682.85,216.02
10013938,38.5,0.5,392.09,0.049
10273406,33.5,-7.9,682.85,216.02
10039812,27.4,-15.1,290.12,523.88
10259118,27.6,-11.396,355.03,280.693
10236157,29.6,-11.5,374.89,416.094
10031432,25.7,-16.496,112.67,400.932
10260204,47.396,3.4,79.63,0.525
10259901,30.8,-9.7,374.89,416.094
10037318,27.4,-11.596,355.03,280.693
10027534,28.2,-10.9,355.03,280.693
10026939,28.3,-10.8,355.03,280.693
10031637,31.3,-9.6,374.89,416.094
10034281,44.1,1.7,79.63,0.525
10259433,37,0.3,329.41,0.413
10136861,39.5,-1,97.78,2.737
10015097,37.096,0.4,329.41,0.413
10008947,37.1,0.6,392.09,0.049
10291879,31.7,-9.2,355.03,280.693
10414200,33.5,-7.9,682.85,216.02
10035721,29.5,8.2,290.85,0
10026944,27.4,-11.596,335.86,371.133
10037326,25.8,-13.8,162.02,236.089
10269473,37.2,-2.296,125.23,8.099
10028456,48.3,4.6,79.63,0.525
10294476,32,-8.9,355.03,280.693
10022095,24.8,2.4,1433.99,34.314
10294375,32.7,-8.2,585.85,160.713
10022595,42.396,0.304,96.6,4.55
10034189,29.5,8.2,290.85,0
10013268,37,0.3,329.41,0.413
10381604,29.8,-11.4,520.06,385.084
10260515,25.8,-13.8,162.02,236.089
10018534,31.6,-9.1,728.89,305.102
10017427,22.196,-18.296,125.29,544.649
10016528,37,0.3,329.41,0.413
10036072,37,-2.1,125.23,8.099
10279543,27.4,-11.596,276.65,223.496
10235925,27.6,-13.9,330.39,482.699
10009508,48.2,4.5,79.63,0.525
10236037,48,4.3,79.63,0.525
10031728,23.2,3.7,1272.1,30.779
10008916,27,-15.396,124.69,179.585
10112073,33.6,-7.8,682.85,216.02
10028657,25.896,-15.6,112.67,400.932
10015707,35.9,-2.696,279.34,36.862
10036243,32.6,-5.4,363.44,87.15
10461398,33.6,-7.9,682.85,216.02
10235905,32.6,-9.2,682.85,216.02
10031465,25.8,-13.8,163.76,221.543
10027494,26.4,-15.2,290.12,523.88
10021742,34.5,-4.296,125.23,8.099
10026916,25.7,-15.8,112.67,400.932
10002434,25.296,-16.2,135.31,562.548
10235928,25.6,-15.9,112.67,400.932
10258447,33.9,-7.6,823.94,98.406
10257832,37.2,-2.296,125.23,8.099
10257120,27.7,-13.8,330.39,482.699
10027530,28.2,-10.9,355.03,280.693
10305598,37,0.3,329.41,0.413
10035725,26.3,-15.896,229.37,551.698
10007611,33.6,-7.9,682.85,216.02
10259504,25.9,-16.296,112.67,400.932
10007625,30.8,-9.796,374.89,416.094
10026919,25.9,-16.196,112.67,400.932
10259676,32.9,-8.5,682.85,216.02
10035722,29.6,8.3,290.85,0
10029616,36.7,-2.4,96.14,1.96
10270277,48.196,4.5,79.63,0.525
10026923,22.596,-17.896,125.29,544.649
10258345,37,0.3,329.41,0.413
10033115,28.1,-13.4,330.39,482.699
10280627,27.4,-11.596,355.03,280.693
10002313,27.7,-13.8,330.39,482.699
10005777,35.796,-2.8,279.34,36.862
10026911,33.6,-7.8,682.85,216.02
10035749,27,-13.9,335.86,371.133
10304804,33.6,-7.9,682.85,216.02
10038502,29.6,-11.8,374.89,416.094
10026950,27.4,-11.596,355.03,280.693
10038340,32.9,-8.496,682.85,216.02
10037285,33.996,-7.596,823.94,98.406
10236154,31.2,-9.7,374.89,416.094
10028484,36.7,-2.4,96.14,1.96
10268965,26.3,-12.696,276.65,223.496
10284283,28.2,-13.2,374.89,416.094
10037327,31.6,-9.3,355.03,280.693
10287617,33.6,-7.8,682.85,216.02
10026905,33.396,-8.1,682.85,216.02
10018535,29.4,-11.4,520.06,385.084
10026904,33.396,-8.1,682.85,216.02
10261197,37.196,0.5,329.41,0.413
10031892,36.7,-2.4,96.14,1.96
10233574,33.796,-5.4,585.85,160.713
10027342,36.3,-2.4,125.23,8.099
10036242,28,-11.1,355.03,280.693
10271411,48.296,4.6,79.63,0.525
10111582,26.3,-15.896,229.37,551.698
10031458,35.392,-4.096,608.11,39.592
10282051,47.2,3.5,79.63,0.525
10034206,28.2,-10.9,355.03,280.693
10298171,25.8,-15.7,112.67,400.932
10017321,38.4,-1.096,128.74,5.411
10026964,31.9,-9,585.85,160.713
10028846,29,-12.4,374.89,416.094
10282040,36.9,-2.2,125.23,8.099
10021734,48,4.704,84.71,0.308
10041494,31.3,-9.6,374.89,416.094
10032088,25.8,-13.8,162.02,236.089
10041388,27.4,-11.596,355.03,280.693
10266358,44.5,2.1,79.63,0.525
10024737,42.6,0.504,96.6,4.55
10015881,27.5,-14.096,330.39,482.699
10026002,43.7,2.2,85.84,0.007
10304683,36,-2.596,125.23,8.099
10269475,37,-2.1,96.14,1.96
10032051,33.6,-7.8,682.85,216.02
10291166,25.8,-13.8,163.76,221.543
10034341,29.7,-11.7,374.89,416.094
10261350,25.7,-16.396,112.67,400.932
10359466,26.3,-15.996,229.37,551.698
10266972,33.5,-8,682.85,216.02
10016346,37.096,0.4,329.41,0.413
10292226,33.7,-7.7,682.85,216.02
10263609,26.5,-15.096,290.12,523.88
10258337,37.196,0.5,329.41,0.413
10027809,23,3.5,1272.1,30.779
10019938,29.5,8.2,290.85,0
10040347,27.4,-11.596,276.65,223.496
10288963,27.4,-11.596,355.03,280.693
10260887,41.4,-3.6,87.29,4.641
10034024,35.9,-2.696,279.34,36.862
10028660,25.796,-15.7,135.31,562.548
10260286,25.8,-16.296,112.67,400.932
10478156,27.7,-13.8,330.39,482.699
10005121,36.3,-3.4,608.11,39.592
10235912,32.4,-9.4,682.85,216.02
10027114,30.1,-10.996,374.89,416.094
10021862,46.9,4,79.63,0.525
10266346,32.1,-11.896,164.56,105.805
10005425,25.7,-15.8,112.67,400.932
10027529,26.2,-13.696,279.92,415.639
10027557,28.4,-12.696,163.76,221.543
10288910,28,-13.5,330.39,482.699
10253165,36.3,-2.496,125.23,8.099
10042336,31.6,-9.3,355.03,280.693
10027717,28.4,-13,374.89,416.094
10243571,30.4,-12.7,374.89,416.094
10308382,27.8,-13.7,330.39,482.699
10042427,28.2,-13.2,374.89,416.094
10259608,25.1,-15.496,125.29,544.649
10041363,32.6,-9.2,682.85,216.02
10252471,36,-2.596,125.23,8.099
10028844,29,-12.4,374.89,416.094
10259589,33.5,-7.9,682.85,216.02
10032056,25.8,-15.7,112.67,400.932
10031454,35.392,-4.096,608.11,39.592
10259651,27.7,-13.8,330.39,482.699
10236134,26,3.6,1433.99,34.314
10259009,39,0.304,132.67,0.21
10261858,38.4,-1.096,128.74,5.411
10270718,37,-2.1,125.23,8.099
10271975,24.6,-16.8,229.22,365.099
10040395,44.296,1.804,79.63,0.525
10036080,39.1,0.304,132.67,0.21
10264714,25.7,-15.8,112.67,400.932
10038389,24.6,-16.8,229.22,365.099
10039802,23.1,9.4,254.88,0
10014917,29.6,8.3,290.85,0
10024732,41.396,-0.996,98.42,7.945
10268546,27.7,-13.8,330.39,482.699
10262771,25.7,-15.8,112.67,400.932
10035726,26.3,-15.996,229.37,551.698
10034188,27.7,-13.8,330.39,482.699
10018565,31.6,-9.3,355.03,280.693
10264128,33.5,-7.9,682.85,216.02
10290424,25.6,-13.996,163.76,221.543
10003960,28.2,-13.3,330.39,482.699
10037319,25.6,-14,279.92,415.639
10031490,22.9,-17.496,229.22,365.099
10284103,36.7,-2.4,96.14,1.96
10029818,28.4,-12.696,163.76,221.543
10273720,33.5,-7.9,682.85,216.02
10028852,26.9,-14.4,374.89,416.094
10267424,40.4,0.3,96.14,1.96
10299148,24.7,-16.7,229.22,365.099
10350229,33.5,-7.9,682.85,216.02
10025376,39.7,-0.8,96.14,1.96
10006546,32,-8.9,585.85,160.713
10027103,30.8,-9.796,374.89,416.094
10352647,29.3,-11.9,484.99,432.971
10307007,37.1,0.6,392.09,0.049
10259543,25.8,-15.7,135.31,562.548
10267195,29.5,8.2,290.85,0
10035728,25.8,-15.7,112.67,400.932
10111580,25.896,-15.6,112.67,400.932
10290403,36,-2.596,125.23,8.099
10292110,22.7,-18.6,229.22,365.099
10032046,28,-13.5,330.39,482.699
10257664,26.1,-16.196,112.67,400.932
10002869,29.2,-12.5,374.89,416.094
10003612,44.896,-0.9,79.63,0.525
10031731,26.196,-2.8,1380.08,141.064
10305334,36.9,-2.2,96.14,1.96
10029806,27.4,-11.596,355.03,280.693
10035931,33.6,-10,841.26,396.907
10036219,25.7,-15.8,112.67,400.932
10027548,27.9,-11.2,355.03,280.693
10007207,27.7,-11.4,355.03,280.693
10039816,25.7,-15.8,112.67,400.932
10299947,33.6,-7.8,682.85,216.02
10263524,24.8,2.4,1433.99,34.314
10011681,25.8,-13.8,162.02,236.089
10038186,35.696,-2.9,125.23,8.099
10362147,27.7,-13.8,330.39,482.699
10032919,37.3,-4.8,98.33,8.071
10296372,25.8,-16.296,112.67,400.932
10304324,23.1,9.4,254.88,0
10033146,32.6,-5.4,363.44,87.15
10028652,28,-13.5,330.39,482.699
10036245,25.1,-15.4,279.92,415.639
10008108,31.9,-9.5,682.85,216.02
10034193,25.6,-15.9,112.67,400.932
10392957,26.2,-13.696,279.92,415.639
10235988,32.696,-8.896,682.85,216.02
10311335,27.7,-13.8,330.39,482.699
10267411,25.7,-15.8,112.67,400.932
10295748,32.2,-7.296,278.2,98.483
10034226,31.6,-9.3,355.03,280.693
10290389,29,-12.296,484.99,432.971
10234765,36,-2.596,125.23,8.099
10273123,33.5,-7.9,682.85,216.02
10312302,47.396,3.4,79.63,0.525
10010668,25.8,-13.8,162.02,236.089
10269468,37.2,-2.2,125.23,8.099
10210284,42.096,0.708,104.23,0.714
10290416,30.5,-12.6,374.89,416.094
10027026,48.3,4.6,79.63,0.525
10270274,40.5,-3,65.7,2.912
10260560,25.6,-15.6,229.37,551.698
10029817,26.4,-13.196,162.02,236.089
10238799,41.3,0.7,132.67,0.21
10311400,32.7,-9.1,682.85,216.02
10264890,29.7,-11.7,374.89,416.094
10026761,36.7,-2.4,96.14,1.96
10294720,36.996,0.3,329.41,0.413
10290742,28.4,-10.7,355.03,280.693
10111583,21.6,-18.7,125.29,544.649
10035755,27.7,-11.296,355.03,280.693
10259141,38.4,-1.096,128.74,5.411
10271978,24.6,-16.8,229.22,365.099
10261263,48,4.704,84.71,0.308
10009688,27.6,-11.396,355.03,280.693
10262809,27.4,-11.596,355.03,280.693
10264894,29.7,-11.7,374.89,416.094
10263504,23.296,3.704,1272.1,30.779
10032039,29.096,-12.296,484.99,432.971
10024378,43.196,-2.996,92.35,11.907
10028861,29.6,-11.8,374.89,416.094
10236194,26,3.6,1433.99,34.314
10236152,26.9,-14.4,374.89,416.094
10029615,36.2,-2.596,125.23,8.099
10260246,33.5,-8,682.85,216.02
10272192,41.4,2.3,109.11,0.189
10313001,25.8,-16.296,112.67,400.932
10029617,36.7,-2.4,96.14,1.96
10111581,28.1,-14.096,330.39,482.699
10027504,33.5,-7.9,682.85,216.02
10257681,33.896,-7.696,823.94,98.406
10269520,34.892,-4.596,608.11,39.592
10253849,35.392,-4.096,608.11,39.592
10269470,39.6,-0.296,128.74,5.411
10034192,33.5,-7.9,682.85,216.02
10468262,24.6,-16.8,229.22,365.099
10303635,33.4,-8,682.85,216.02
10027495,26.4,-15.2,290.12,523.88
10040316,25.596,-15.9,135.31,562.548
10236121,25,3.6,1735.79,2.604
10272440,37.2,-2.296,125.23,8.099
10028939,24.8,3.4,1735.79,2.604
10033206,41.6,-3.4,87.29,4.641
10311716,33.5,-7.9,682.85,216.02
10312633,28.4,-12.696,163.76,221.543
10310779,36.2,-2.596,125.23,8.099
10037358,46.5,3.6,79.63,0.525
10041482,30.9,-9.696,374.89,416.094
10331144,36.996,0.3,329.41,0.413
10020785,43.6,2.6,84.56,1.484
10288911,27.2,-14.3,330.39,482.699
10259682,33.396,-8.1,682.85,216.02
10029590,47.6,4.304,84.71,0.308
10307674,36.2,-2.596,125.23,8.099
10027353,43.6,2.3,103.16,0.007
10290539,33.5,-8,682.85,216.02
10273341,43,1.7,106.37,0.07
10001110,27.6,-13.9,330.39,482.699
10267018,32.1,-11.896,164.56,105.805
10026953,27.4,-11.596,276.65,223.496
10032037,31.8,-9.6,728.89,305.102
10301566,41.4,-3.6,87.29,4.641
10326312,26.2,-15.996,229.37,551.698
10314256,33.4,-8,682.85,216.02
10259066,39.3,0.504,132.67,0.21
10269533,25.7,-15.8,112.67,400.932
10289662,25.8,-16.296,112.67,400.932
10257674,22.696,-17.796,125.29,544.649
10266420,38.5,0.5,392.09,0.049
10291591,30.1,-10.996,374.89,416.094
10029965,28.2,-13.2,374.89,416.094
10259020,31.8,-10,728.89,305.102
10292318,25.7,-15.8,112.67,400.932
10018603,40.7,-6.5,92.35,11.907
10025307,23.2,9.5,254.88,0
10364031,28.4,-13,374.89,416.094
10019022,37.5,-2.2,527.4,1.764
10004912,37.2,0.7,392.09,0.049
10021822,26.496,-15.2,290.12,523.88
10265884,33.5,-7.9,682.85,216.02
10259119,33.796,-7.796,823.94,98.406
10269462,36,-2.596,125.23,8.099
10292701,30.4,-12.7,374.89,416.094
10345361,28.4,-13,374.89,416.094
10253027,37.6,-3.196,115.03,18.732
10259017,37,-2.1,125.23,8.099
10259104,28,-13.5,330.39,482.699
10036285,38.6,-4.1,111.61,15.274
10029957,28.6,-12.8,374.89,416.094
10271302,37.2,-2,125.23,8.099
10019019,22.696,-17.796,125.29,544.649
10320433,28.2,-10.9,355.03,280.693
10038352,27.6,-13.9,330.39,482.699
10299877,31.8,-10,728.89,305.102
10354077,25.8,-16.396,112.67,400.932
10019002,33.796,-7.796,823.94,98.406
10259018,27.396,-15.196,290.12,523.88
10024435,31.1,1.4,1272.1,30.779
10257677,33,-8.5,728.89,305.102
10270309,36.5,-2.7,125.23,8.099
10023041,41.3,0.7,132.67,0.21
10350206,31.6,-9.3,355.03,280.693
10301041,26.3,-15.896,229.37,551.698
10315482,36.7,-2.4,96.14,1.96
10036254,22.9,-17.196,186.36,406.644
10036469,22.996,3.404,1272.1,30.779
10314258,33.4,-8,682.85,216.02
10301523,25.7,-15.8,112.67,400.932
10292546,26,3.6,1433.99,34.314
10028692,27,-13.9,335.86,371.133
10036280,35.3,-5.796,128.17,38.801
10035897,30.4,-12.7,374.89,416.094
10027127,30.5,-12.6,374.89,416.094
10264117,23.9,-17.2,125.29,544.649
10273332,25.696,-15.596,229.37,551.698
10027528,27.9,-11.2,355.03,280.693
10400843,31.6,-9.3,355.03,280.693
10290290,27.5,-11.496,335.86,371.133
10328718,24.6,-16.8,229.22,365.099
10035738,31.6,-8.4,585.85,160.713
10258857,23.1,9.4,254.88,0
10258333,38.5,0.5,392.09,0.049
10369329,25.8,-15.7,112.67,400.932
10401083,37,-2.1,96.14,1.96
10041359,33.996,-7.596,823.94,98.406
10019814,44.7,2.6,87.81,0.161
10253339,40.5,0.3,96.14,1.96
10265927,21.796,10.104,235.89,0
10268367,36.9,-2.8,548.13,84.98
10027567,24.6,-16.8,229.22,365.099
