trail_id,name,area_name,city_name,state_name,country_name,_geoloc,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,features,activities,units,lat,lng,summer_temp,winter_temp,annual_rain,annual_snow
10265251,Blueberry Hill Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.49541, 'lng': -150.88137}",4.1956,1448.406,46.9392,3,out and back,2.0,4.5,6,"['dogs-no', 'lake', 'views', 'wildlife']",['hiking'],i,63.49541,-150.88137,19.6,-29.4,787.82,282.926
10393562,Stampede Trail to Sushana River,Denali National Park,Healy,Alaska,United States,"{'lat': 63.88374, 'lng': -149.26764}",3.958,61476.788,1292.9616,5,out and back,1.0,4.5,3,"['historic-site', 'river', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",i,63.88374,-149.26764,21.2,-35.196,400.09,124.16599999999998
10262541,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,"{'lat': 58.45462, 'lng': -135.88312}",3.8939,1770.274,33.8328,1,loop,2.0,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",i,58.45462,-135.88312,19.196000000000005,-10.7,2263.0,376.20799999999997
10358126,Camp Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.52451, 'lng': -150.96072}",3.6654,6759.228,538.8864,5,out and back,1.0,5.0,8,"['dogs-no', 'forest', 'views', 'wildlife']","['hiking', 'trail-running']",i,63.52451,-150.96072,21.096000000000004,-30.7,1111.1,300.762
10236078,Jonesville Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73334, 'lng': -148.89618}",3.4891,1448.406,52.7304,1,out and back,1.0,4.0,11,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,63.73334,-148.89618,22.296000000000003,-30.2,400.09,124.16599999999998
10343441,Roadside Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73034, 'lng': -148.91945}",3.3846,5471.7559999999985,214.884,1,out and back,2.0,4.0,13,"['forest', 'kids', 'wildlife']","['hiking', 'trail-running']",i,63.73034,-148.91945,21.996000000000002,-30.4,400.09,124.16599999999998
10023165,Quigley Ridge Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.52444, 'lng': -150.96015}",3.304,14644.994,730.9104,3,out and back,,4.5,5,"['dogs-no', 'views']","['hiking', 'trail-running', 'canoeing']",i,63.52444,-150.96015,21.096000000000004,-30.7,1111.1,300.762
10333569,Bison Gulch to Denali Visitors Center,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.80495, 'lng': -148.95416}",2.7746,15771.532,1385.9256,5,point to point,2.0,5.0,5,"['dogs-no', 'views']","['hiking', 'nature-trips']",i,63.80495,-148.95416,21.996000000000002,-32.7,400.09,124.16599999999998
10347459,Brooks Falls,Katmai National Park,King Salmon,Alaska,United States,"{'lat': 58.55986, 'lng': -155.77752}",2.4937,4667.085999999998,63.7032,1,out and back,2.0,4.5,4,"['forest', 'river', 'views', 'waterfall', 'wildlife']","['hiking', 'walking']",i,58.55986,-155.77752,21.4,-23.7,716.33,186.158
10302108,Bartlett River Trail,Glacier Bay National Park,Gustavus,Alaska,United States,"{'lat': 58.4543, 'lng': -135.86902}",2.33,11104.446000000002,266.7,1,out and back,1.0,3.0,7,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wildlife']","['hiking', 'nature-trips', 'trail-running', 'walking']",i,58.4543,-135.86902,18.996000000000002,-10.9,1993.81,688.639
10333558,McKinley Station and Morino Loop Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.7315, 'lng': -148.91785}",2.0877,1448.406,33.8328,3,loop,2.0,3.0,4,"['dogs-no', 'views', 'wild-flowers']","['hiking', 'nature-trips', 'walking']",i,63.7315,-148.91785,22.096000000000004,-30.4,400.09,124.16599999999998
10513937,Dumpling Mountain,Katmai National Park,Kodiak,Alaska,United States,"{'lat': 58.55626, 'lng': -155.77832}",2.0328,4828.02,225.8568,3,out and back,1.0,4.0,5,"['forest', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",i,58.55626,-155.77832,21.4,-23.7,716.33,186.158
10333557,Spruce Tree Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.73136, 'lng': -148.91762}",1.8986,643.736,23.7744,1,loop,2.0,3.0,6,"['kids', 'views', 'wildlife']","['hiking', 'nature-trips', 'walking']",i,63.73136,-148.91762,22.096000000000004,-30.4,400.09,124.16599999999998
10302122,Bartlet Lake Trail,Glacier Bay National Park,Gustavus,Alaska,United States,"{'lat': 58.46205, 'lng': -135.77323}",1.86,9495.106,141.732,1,out and back,1.0,3.5,4,"['dogs-no', 'forest', 'lake']","['hiking', 'mountain-biking', 'nature-trips', 'walking']",i,58.46205,-135.77323,18.996000000000002,-10.896,1993.81,688.639
10265266,Eldorado Creek Trail,Denali National Park,Denali National Park,Alaska,United States,"{'lat': 63.52668, 'lng': -150.96891}",1.803,13679.39,397.764,3,out and back,2.0,0.0,0,['dogs-leash'],"['backpacking', 'hiking']",i,63.52668,-150.96891,21.096000000000004,-30.7,1111.1,300.762
10302112,Tlingit Trail,Glacier Bay National Park,Gustavus,Alaska,United States,"{'lat': 58.45442, 'lng': -135.88565}",1.3701,1770.274,19.812,1,out and back,1.0,3.5,4,"['ada', 'beach', 'forest', 'lake', 'views']","['hiking', 'nature-trips', 'walking']",i,58.45442,-135.88565,19.196000000000005,-10.696,2263.0,376.20799999999997
10302114,Point Gustavus,Glacier Bay National Park,Gustavus,Alaska,United States,"{'lat': 58.45379, 'lng': -135.88686}",1.3415,20116.75,117.9576,3,out and back,1.0,4.0,2,"['beach', 'dogs-no']","['hiking', 'nature-trips', 'walking']",i,58.45379,-135.88686,19.196000000000005,-10.696,2263.0,376.20799999999997
10187810,Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05735, 'lng': -112.14381}",37.4791,28485.318,1525.8288,5,out and back,3.0,5.0,670,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",i,36.05735,-112.14381,33.1,-13.196,254.03000000000003,56.833000000000006
10016964,South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05346, 'lng': -112.08361}",36.2709,4988.9540000000015,358.7496,3,out and back,3.0,5.0,489,"['cave', 'dogs-no', 'forest', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",i,36.05346,-112.08361,32.4,-13.896,254.03000000000003,56.833000000000006
10237812,Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05701, 'lng': -112.14414}",33.256,8690.436,635.8128,5,out and back,3.0,4.5,454,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips']",i,36.05701,-112.14414,33.1,-13.196,254.03000000000003,56.833000000000006
10245012,"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05344, 'lng': -112.08364}",31.6323,26875.978,1400.8608,5,point to point,3.0,5.0,519,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,36.05344,-112.08364,32.4,-13.896,254.03000000000003,56.833000000000006
10265905,South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05309, 'lng': -112.08387}",28.8685,2896.812,210.9216,3,out and back,3.0,5.0,455,"['dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,36.05309,-112.08387,32.3,-13.995999999999999,254.03000000000003,56.833000000000006
10266148,Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05723, 'lng': -112.14378}",28.2035,8690.436,106.9848,1,out and back,3.0,4.5,342,"['ada', 'dogs-leash', 'kids', 'paved', 'strollers', 'views', 'wild-flowers']",['walking'],i,36.05723,-112.14378,33.1,-13.196,254.03000000000003,56.833000000000006
10094721,Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.21692, 'lng': -112.05678}",24.0229,34761.744,1614.8304,5,point to point,3.0,5.0,217,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'trail-running']",i,36.21692,-112.05678,29.2,-15.495999999999999,289.93,77.259
10026816,Shoshone Point Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.03496, 'lng': -112.06924}",22.7206,3379.614,45.72,1,out and back,1.0,5.0,224,"['ada', 'dogs-no', 'kids', 'strollers', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,36.03496,-112.06924,31.4,-13.9,254.03000000000003,56.833000000000006
10235665,Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05681, 'lng': -112.14201}",22.5006,19633.948,961.9488,5,out and back,3.0,5.0,262,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'nature-trips']",i,36.05681,-112.14201,32.9,-13.396,254.03000000000003,56.833000000000006
10266521,South Kaibab Trail to Skeleton Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05356, 'lng': -112.08336}",22.1688,8690.436,602.8944,5,out and back,2.0,5.0,229,"['dogs-no', 'views', 'wild-flowers']","['hiking', 'trail-running', 'horseback-riding']",i,36.05356,-112.08336,32.4,-13.896,254.03000000000003,56.833000000000006
10016127,Grand Canyon West Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05264, 'lng': -112.08368}",21.652,20599.552,169.7736,1,point to point,3.0,4.5,158,"['ada', 'dogs-no', 'kids', 'paved', 'river', 'strollers', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,36.05264,-112.08368,32.3,-13.995999999999999,254.03000000000003,56.833000000000006
10034910,Bridal Wreath Falls Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.23512, 'lng': -110.68683}",20.8545,9012.304,326.7456,3,out and back,2.0,4.5,259,"['dogs-no', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,32.23512,-110.68683,40.0,-1.1,220.19,1.9880000000000002
10337353,1.5 Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05706, 'lng': -112.14428}",20.0835,4667.085999999998,349.9104,3,out and back,3.0,4.5,238,"['dogs-no', 'views', 'wild-flowers', 'wildlife']",['hiking'],i,36.05706,-112.14428,33.1,-13.196,254.03000000000003,56.833000000000006
10013850,Bright Angel Point Trail,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.19703, 'lng': -112.05258}",19.8228,1448.406,43.8912,1,out and back,3.0,4.5,142,"['dogs-no', 'kids', 'partially-paved', 'views']","['hiking', 'nature-trips', 'walking']",i,36.19703,-112.05258,29.2,-15.491999999999999,289.93,77.259
10031380,Wasson Peak Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.24669, 'lng': -111.16708}",18.8699,12713.786,567.8424,3,loop,3.0,4.5,229,"['cave', 'dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",i,32.24669,-111.16708,39.3,-1.2959999999999996,220.19,1.9880000000000002
10304374,Indian Garden via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05745, 'lng': -112.14434}",16.7412,13196.588,896.7216,5,out and back,3.0,5.0,61,"['dogs-no', 'river', 'views']","['backpacking', 'camping', 'hiking']",i,36.05745,-112.14434,33.1,-13.196,254.03000000000003,56.833000000000006
10236025,Blue Mesa Trail,Petrified Forest National Park,Holbrook,Arizona,United States,"{'lat': 34.93947, 'lng': -109.75639}",15.5733,1448.406,32.9184,1,loop,3.0,4.5,163,"['dogs-leash', 'kids', 'partially-paved', 'views']","['hiking', 'walking']",i,34.93947,-109.75639,35.4,-8.9,163.34,20.509999999999998
10013966,King Canyon Trail to Wasson Peak,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.24717, 'lng': -111.16717}",15.5,11426.313999999995,560.832,3,out and back,2.0,4.5,135,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",i,32.24717,-111.16717,39.3,-1.2959999999999996,220.19,1.9880000000000002
10004120,Grandview Trail Loop,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 35.99805, 'lng': -111.98775}",14.8144,18668.344,1188.72,7,loop,2.0,5.0,62,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,35.99805,-111.98775,31.6,-12.196,254.03000000000003,56.833000000000006
10006500,Hermit Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.06193, 'lng': -112.21112}",14.7746,24783.836,1567.8912,5,out and back,2.0,4.5,88,"['dogs-no', 'river', 'views', 'wild-flowers']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,36.06193,-112.21112,33.6,-12.696,254.03000000000003,56.833000000000006
10259347,Grandview Point to Horseshoe Mesa Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 35.99809, 'lng': -111.98778}",14.7248,8851.37,726.948,3,out and back,1.0,5.0,97,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,35.99809,-111.98778,31.6,-12.196,254.03000000000003,56.833000000000006
10041313,North Kaibab Trail to Roaring Springs,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.21687, 'lng': -112.05678}",14.6866,13518.456,1071.9816,5,out and back,2.0,4.5,80,"['dogs-no', 'forest', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running']",i,36.21687,-112.05678,29.2,-15.495999999999999,289.93,77.259
10244240,Wasson Peak via Sweetwater Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.28866, 'lng': -111.12114}",14.3846,14966.862,637.9464,5,out and back,3.0,4.5,161,"['cave', 'dogs-no', 'views', 'wild-flowers', 'wildlife']","['hiking', 'trail-running', 'walking']",i,32.28866,-111.12114,40.096000000000004,-1.0,220.19,1.9880000000000002
10111405,Douglas Spring Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.23518, 'lng': -110.68682}",14.3478,26715.044,1139.952,3,out and back,2.0,4.5,95,"['dogs-no', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",i,32.23518,-110.68682,40.0,-1.1,220.19,1.9880000000000002
10286650,South Kaibab Trail to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05298, 'lng': -112.0839}",13.8468,21565.156000000006,1496.8728,5,out and back,3.0,5.0,73,"['dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'horseback-riding']",i,36.05298,-112.0839,32.3,-13.995999999999999,254.03000000000003,56.833000000000006
10031336,Widforss Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.22375, 'lng': -112.06506}",13.3343,14644.994,315.7728,3,out and back,2.0,4.5,100,"['dogs-no', 'forest', 'views']","['backpacking', 'hiking', 'trail-running']",i,36.22375,-112.06506,29.3,-15.392,289.93,77.259
10031337,Transept Trail,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.19695, 'lng': -112.05287}",12.6285,4667.085999999998,85.9536,3,out and back,2.0,4.0,85,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",i,36.19695,-112.05287,29.2,-15.491999999999999,289.93,77.259
10304469,Yavapai Point via Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.06045, 'lng': -112.10861}",12.5954,2574.944,24.9936,1,out and back,3.0,4.5,52,"['dogs-no', 'kids', 'views']","['hiking', 'nature-trips', 'walking']",i,36.06045,-112.10861,32.4,-13.896,254.03000000000003,56.833000000000006
10273263,Bright Angel Trail: South Rim to Phantom Ranch,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05742, 'lng': -112.14421}",12.4801,28968.12,1518.8184,5,out and back,3.0,5.0,39,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking']",i,36.05742,-112.14421,33.1,-13.196,254.03000000000003,56.833000000000006
10000811,Cape Royal Trail,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.12234, 'lng': -111.94949}",12.4222,1609.34,19.812,1,out and back,2.0,4.5,54,"['ada', 'dogs-no', 'forest', 'kids', 'partially-paved', 'strollers', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'walking']",i,36.12234,-111.94949,30.7,-16.1,254.03000000000003,56.833000000000006
10009957,Rim-to-Rim: North Kaibab to South Kaibab Trailhead,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.21689, 'lng': -112.05678}",12.4044,31060.262,1666.9512,7,point to point,3.0,5.0,38,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'trail-running', 'horseback-riding']",i,36.21689,-112.05678,29.2,-15.495999999999999,289.93,77.259
10006953,Tanque Verde Ridge Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.16559, 'lng': -110.7238}",12.393,32186.8,1705.9656,7,out and back,2.0,4.5,108,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,32.16559,-110.7238,39.3,-1.2,232.08,0.9940000000000001
10297089,Rim to Rim Trail Segment: Indian Garden to Colorado River,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.07836, 'lng': -112.12709}",12.3532,9656.04,429.768,7,out and back,2.0,5.0,61,"['dogs-no', 'views', 'waterfall']","['backpacking', 'camping', 'nature-trips']",i,36.07836,-112.12709,39.3,-8.6,212.5,34.804
10040243,North Kaibab Trail to Colorado River,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.21704, 'lng': -112.05675}",12.302,45061.52,2092.7568,7,out and back,1.0,4.5,45,"['beach', 'cave', 'dogs-no', 'forest', 'historic-site', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running']",i,36.21704,-112.05675,29.2,-15.495999999999999,289.93,77.259
10026822,Cape Final,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.14579, 'lng': -111.9355}",12.0834,6437.36,150.876,1,out and back,,4.5,76,"['dogs-no', 'forest', 'kids', 'views']","['camping', 'hiking']",i,36.14579,-111.9355,30.7,-16.1,289.93,77.259
10242023,Mica View Loop Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.2207, 'lng': -110.72608}",11.8629,5954.558000000001,36.8808,1,loop,2.0,4.0,111,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,32.2207,-110.72608,39.9,-1.2,220.19,1.9880000000000002
10255289,Phantom Ranch to Ribbon Falls via North Kaibab Trail,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.10656, 'lng': -112.09423}",11.8608,19151.146,592.836,5,out and back,3.0,5.0,27,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking']",i,36.10656,-112.09423,41.7,-6.2,205.73000000000002,44.31699999999999
10004435,Hugh Norris Trail,Saguaro National Park,Tucson,Arizona,United States,"{'lat': 32.27146, 'lng': -111.20301}",11.8001,14323.126,729.9960000000003,3,out and back,,4.5,103,"['dogs-no', 'views']","['hiking', 'nature-trips', 'horseback-riding']",i,32.27146,-111.20301,40.3,-0.8,176.41,0.238
10258667,North Kaibab Trail to Supai Tunnel and Coconino Overlook,Grand Canyon National Park,North Rim,Arizona,United States,"{'lat': 36.21724, 'lng': -112.05655}",11.7107,5954.558000000001,425.8056,3,out and back,2.0,4.5,69,"['dogs-no', 'forest', 'kids', 'views']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",i,36.21724,-112.05655,29.2,-15.495999999999999,289.93,77.259
10236026,Crystal Forest Trail,Petrified Forest National Park,Petrified Forest National Park,Arizona,United States,"{'lat': 34.86326, 'lng': -109.79239}",11.5545,1448.406,10.9728,1,loop,1.0,4.5,95,"['dogs-leash', 'kids', 'paved', 'views']","['hiking', 'nature-trips', 'walking']",i,34.86326,-109.79239,35.4,-8.9,152.24,17.304000000000002
10258648,Hermit's Rest Viewpoint  to Santa Maria Spring,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.06065, 'lng': -112.21219}",11.1051,5471.7559999999985,528.828,3,out and back,,4.5,39,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'trail-running']",i,36.06065,-112.21219,33.3,-12.9,254.03000000000003,56.833000000000006
10257085,South Kaibab to North Kaibab to Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,"{'lat': 36.05299, 'lng': -112.08351}",11.0836,65822.006,3578.9616,7,point to point,3.0,5.0,37,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",i,36.05299,-112.08351,32.3,-13.995999999999999,254.03000000000003,56.833000000000006
10236022,Painted Desert Rim Trail,Petrified Forest National Park,Chambers,Arizona,United States,"{'lat': 35.080330000000004, 'lng': -109.78349}",10.9378,1770.274,11.8872,1,out and back,1.0,4.0,61,"['dogs-leash', 'kids', 'views']","['hiking', 'nature-trips', 'walking']",i,35.080330000000004,-109.78349,34.6,-9.995999999999999,177.9,28.861
